clustering_mid,ball_dist_spot_mid,wall_index_mid,players_in_box_mid,ball_in_box_mid,optical_flow,temporal_delta,ball_detected_ratio,avg_player_count,mean_wall_index,mean_ball_dist_spot,mean_clustering,mean_players_in_box,mean_ball_in_box,label
0.10918868922147909,1.0,0,1,0,4.065666460129152,1.0481927710843373,0.34523809523809523,10.654761904761905,0.0,0.931892184318891,0.18476547616126576,0.7380952380952381,0.0,Foul
0.1404931666187216,1.0,0,2,0,2.7470509244734984,1.4337349397590362,0.44047619047619047,13.119047619047619,0.20238095238095238,0.71047947219229,0.24480547400369318,1.2142857142857142,0.08333333333333333,Foul
0.10769773801610809,1.0,0,2,0,4.605878025652414,1.2530120481927711,0.21428571428571427,12.095238095238095,0.13095238095238096,0.8565988019272261,0.24044787471047127,1.619047619047619,0.023809523809523808,Foul
0.11013804106151148,1.0,0,1,0,5.036341341863196,1.2289156626506024,0.011904761904761904,12.630952380952381,0.03571428571428571,0.9933787420684161,0.10150403032193445,0.7738095238095238,0.0,Foul
0.08367191764258253,1.0,0,1,0,1.7237956444901157,1.2771084337349397,0.03571428571428571,17.773809523809526,0.0,0.9713180914396851,0.08486983482187495,0.6547619047619048,0.03571428571428571,Foul
0.1166908472918473,1.0,0,1,0,4.658997616854059,1.4698795180722892,0.10714285714285714,10.583333333333334,0.023809523809523808,0.9532249772736117,0.11624828744909295,0.3333333333333333,0.0,Foul
0.1819329502801726,1.0,0,3,0,4.098720734377942,0.9759036144578314,0.47619047619047616,10.869047619047619,0.16666666666666666,0.6306726856173387,0.3519967110727465,2.880952380952381,0.14285714285714285,Foul
0.1261613867719746,0.7108175146106059,0,2,0,4.6483402740524475,1.2409638554216869,0.07142857142857142,12.619047619047619,0.11904761904761904,0.9577141531317659,0.2728979355790057,2.0357142857142856,0.0,Foul
0.1890495208352937,1.0,0,1,0,3.6096547037722115,0.9759036144578314,0.42857142857142855,8.976190476190476,0.11904761904761904,0.7020604065822282,0.32251403285375163,1.0,0.05952380952380952,Foul
0.4132201065396329,1.0,0,0,0,4.487613214067666,0.3132530120481928,0.20238095238095238,1.6666666666666667,0.0,0.8422219543685678,0.7609531635179388,0.03571428571428571,0.047619047619047616,Yellow card
0.08830479224284565,1.0,0,0,0,5.04447761832214,1.6585365853658536,0.11904761904761904,11.595238095238095,0.0,0.9217242706746669,0.11407623287159635,0.0,0.023809523809523808,Foul
0.19234858434347407,1.0,0,1,0,7.5121341943740845,1.8048780487804879,0.19047619047619047,15.642857142857142,0.4523809523809524,0.8793082659770194,0.09211074281137846,1.4761904761904763,0.0,Foul
0.10876231595836076,1.0,0,2,0,8.362044601905637,1.5609756097560976,0.21428571428571427,14.642857142857142,0.21428571428571427,0.9024517029050472,0.1868521335697797,1.880952380952381,0.023809523809523808,Foul
0.059371278344693454,1.0,0,0,0,3.5337709413795935,1.8048780487804879,0.11904761904761904,12.214285714285714,0.047619047619047616,0.9268466267260703,0.1075966158332776,0.047619047619047616,0.023809523809523808,Penalty
0.12613152050306276,1.0,0,3,0,6.830393209690001,1.9268292682926829,0.38095238095238093,10.071428571428571,0.21428571428571427,0.738431086030471,0.24046695171064747,0.8571428571428571,0.0,Foul
0.13022660047894177,0.33409065346282935,0,0,0,4.675760019116286,1.5853658536585367,0.5714285714285714,12.452380952380953,0.16666666666666666,0.6192612625785786,0.23541583269621583,0.0,0.0,Foul
1.0,1.0,0,0,0,4.224656974397054,0.7073170731707317,0.2619047619047619,5.142857142857143,0.0,0.8332474529354447,0.6192487495795425,0.0,0.0,Yellow card
0.07376396569487104,1.0,0,0,0,7.8913570758773055,1.6829268292682926,0.3333333333333333,12.547619047619047,0.07142857142857142,0.7592425700347187,0.166512932036958,0.30952380952380953,0.09523809523809523,Foul
0.0829351839125901,1.0,0,0,0,11.171514467495244,1.2195121951219512,0.07142857142857142,15.619047619047619,0.11904761904761904,0.9580454422827106,0.08853831344714129,0.16666666666666666,0.0,Foul
0.1081671949418472,0.6727919542568938,0,1,0,9.861675686952545,1.7804878048780488,0.42857142857142855,13.119047619047619,0.11904761904761904,0.8328891279853695,0.10552900856421439,0.8333333333333334,0.0,Foul
0.07233704615698805,1.0,0,0,0,10.583484428684885,1.829268292682927,0.35714285714285715,10.666666666666666,0.16666666666666666,0.7486384280836443,0.1497344354168896,0.023809523809523808,0.16666666666666666,Foul
0.08094191230941512,0.4059588091972263,0,0,0,9.956087385735861,1.9024390243902438,0.5476190476190477,12.928571428571429,0.0,0.6834331510172454,0.1793811372966639,0.023809523809523808,0.0,Foul
1.0,1.0,0,0,0,8.3647198211856,1.146341463414634,0.30952380952380953,6.0476190476190474,0.0,0.803728844332096,0.49135756823564836,0.023809523809523808,0.07142857142857142,Yellow card
0.14687115312513838,0.7252710532965325,0,0,0,13.770377054447081,2.268292682926829,0.5,10.5,0.047619047619047616,0.7698936929413627,0.17452810996682994,0.16666666666666666,0.11904761904761904,Foul
0.05623231269608564,1.0,0,0,0,7.746194923069419,1.975609756097561,0.2619047619047619,10.833333333333334,0.0,0.8913671613744466,0.13773631766481098,0.023809523809523808,0.0,Foul
0.08820178767766404,1.0,0,0,0,9.023546151998566,1.3414634146341464,0.16666666666666666,14.214285714285714,0.0,0.8892960929279135,0.11507245614149253,1.0476190476190477,0.07142857142857142,Foul
0.22258064379828757,0.19895839681048821,0,0,0,10.417562724613562,1.6585365853658536,0.30952380952380953,9.69047619047619,0.0,0.7973634872917155,0.133892263021323,0.023809523809523808,0.0,Foul
